"id","eventtime","status","x1","x2","x3","x4","x5"
1,1,1,0,1,0,11.5104795432964,0.836012917174463
2,4,1,1,0,1,9.32522440121461,1.30432084611182
3,3,1,1,0,1,9.60052974991287,1.04982812110661
4,2,1,0,1,0,7.80174294117552,0.920793222987749
5,3,1,1,0,0,11.183022438911,0.525142747180199
6,4,1,0,0,0,8.04326052232853,-1.77477204921658
7,2,1,1,0,1,15.7719586145577,-0.334090997454576
8,3,1,1,1,1,12.1622925412608,0.55408773770099
9,4,1,1,1,1,9.59134268414674,-0.507493769406198
10,4,1,0,1,1,10.3921123953327,0.675797405998758
11,1,1,1,1,0,9.43885477690627,0.722206751665607
12,4,1,0,0,1,5.99433438131688,0.699333267900744
13,1,1,1,1,1,11.5622962528167,-1.03647062403501
14,3,1,0,0,1,8.64877363177544,0.929072437106349
15,3,1,1,0,1,11.7071432588904,0.870109559199857
16,0,1,1,0,0,7.65013421804122,0.6873189188376
17,3,1,1,0,0,8.55784773209537,0.889329536080341
18,4,1,0,0,1,4.7785011228362,-0.742128676923178
19,3,1,0,1,1,12.4407642709073,-0.901398945889337
20,0,1,1,1,1,9.90963294787988,-0.386711058137341
21,3,1,1,0,0,8.35908654010862,1.26612246047022
22,3,1,0,0,1,7.18151339100213,-0.138071435032211
23,4,1,0,0,0,13.8658868184883,0.259672163467009
24,2,1,0,1,0,7.15733328254746,-1.66465246063378
25,2,1,0,1,0,10.898678927293,-0.132178211369897
26,2,1,1,0,1,10.5417868594268,-0.215131909448395
27,4,1,0,1,0,7.71130953402155,-0.890638941264209
28,3,1,1,0,0,13.7654097823831,-0.116505757855509
29,3,1,0,1,1,11.2007213896917,0.682518126905435
30,3,1,0,0,0,11.9401996273255,1.00534943528005
31,3,1,1,1,0,11.4896352030566,-0.457324981606546
32,1,1,0,0,1,6.20477953347057,-0.104357118075036
33,3,1,1,0,0,10.3108811354037,-0.942964049392576
34,4,1,1,0,0,9.84423959561934,-0.12404103382985
35,0,1,1,1,0,8.68773335928875,-0.462056965044607
36,2,1,1,1,0,11.6327108226675,-1.29373266052071
37,2,1,1,1,0,3.16328281913317,-1.28943517448036
38,3,1,0,1,0,11.3569797765921,-1.04218432570213
39,3,1,0,0,0,10.7108476793028,-0.342410358294815
40,1,1,1,0,0,9.87979129141305,1.22415901331668
41,4,1,0,1,0,9.24874472086666,-1.1410518199562
42,4,1,0,1,0,9.6065210137509,0.953414326370705
43,4,1,0,0,1,13.0428868263043,2.37856529939469
44,4,1,0,0,0,6.65417932262666,-0.66112300479406
45,2,1,0,1,0,10.9408292917194,-0.377975325683003
46,3,1,0,0,0,6.91792786166563,-0.524967283377377
47,3,1,0,1,0,9.24314019206736,-0.654166022045833
